
1월 11, 2024 13:21:54.378 NEW SESSION
1월 11, 2024 13:21:54.378 [9640:4916:0111/132154.376:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 

1월 11, 2024 14:51:07.337 NEW SESSION
1월 11, 2024 14:51:07.338 [2168:11060:0111/145107.336:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 14:52:25.503 [2168:11060:0111/145225.503:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 14:54:33.917 [2168:11060:0111/145433.917:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 14:56:34.985 [4152:7760:0111/145634.985:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 14:57:22.704 [4152:7760:0111/145722.704:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:17:42.359 [4152:7760:0111/151742.359:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:17:51.702 [4152:7760:0111/151751.702:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:18:24.549 [4152:7760:0111/151824.549:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:19:55.752 [4152:7760:0111/151955.752:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:19:59.430 [4152:7760:0111/151959.430:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:21:39.713 [4152:7760:0111/152139.713:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:25:06.366 [9408:6596:0111/152506.366:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:25:13.226 [9408:6596:0111/152513.226:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 11, 2024 15:34:59.833 [7136:8772:0111/153459.833:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
