127.0.0.1 - - [22/Feb/2024:16:18:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:18:50 +0900] "GET /Pension/nav.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:18:50 +0900] "GET /Pension/images/logo.png HTTP/1.1" 200 57558
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:18:50 +0900] "GET /Pension/css/bbs.css HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:18:50 +0900] "GET /Pension/css/main.css HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:18:50 +0900] "GET /Pension/js/roomReservation.js HTTP/1.1" 200 18039
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:18:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:19:02 +0900] "GET /Pension/moveContoller?cmd=moveMain HTTP/1.1" 200 4801
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:19:02 +0900] "GET /Pension/images/back.jpg HTTP/1.1" 200 123627
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:19:02 +0900] "GET /Pension/images/back1.jpg HTTP/1.1" 200 462572
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:19:02 +0900] "GET /Pension/images/back2.jpg HTTP/1.1" 200 222871
